Time,Episode,TrainReward,TestReward
2019-08-23 11:51:18.963,1,74.6211458333,99.1567708333
2019-08-23 11:54:18.384,2,92.8434375,15.2854166667
2019-08-23 11:58:30.878,3,-162.864375,307.292604167
2019-08-23 12:02:02.509,4,14.7271875,24.0507291667
2019-08-23 12:02:20.496,5,-144.699166667,0.639375
2019-08-23 12:02:26.438,6,2.94697916667,0.0
2019-08-23 12:02:32.621,7,0.0,0.0
2019-08-23 12:02:38.904,8,0.0,0.0
2019-08-23 12:02:45.002,9,0.0,0.0
2019-08-23 12:02:51.232,10,0.0,0.0
2019-08-23 12:02:57.193,11,0.0,0.0
2019-08-23 12:03:03.493,12,0.0,0.0
2019-08-23 12:03:09.801,13,0.0,0.0
2019-08-23 12:03:15.742,14,0.0,0.0
